date;link;name;where;price;perm;rooms;sqm;who
20230720;https://www.otodom.pl/pl/oferta/piekne-m-2-zarzew-rozkladowe-ID4lp3B;Piękne M-2 Zarzew rozkładowe!!;al. marsz. Edwarda Śmigłego-Rydza, Zarzew, Widzew, Łódź, łódzkie;269 000 zł;8297 zł/m²;1 pokój;32.42 m²;"Apartiz
Biuro nieruchomości"
20230720;https://www.otodom.pl/pl/oferta/kawalerka-inwestycyjna-gotowa-do-najmu-ID4jXzi;Kawalerka inwestycyjna gotowa do najmu;al. Politechniki, Nowe Rokicie, Górna, Łódź, łódzkie;226 000 zł;11 062 zł/m²;1 pokój;20.43 m²;"EUREX NIERUCHOMOŚCI
Biuro nieruchomości"
20230720;https://www.otodom.pl/pl/oferta/kompaktowa-kawalerka-bez-prowizji-ID4kCzY;Kompaktowa kawalerka bez prowizji;Górniak, Górna, Łódź, łódzkie;155 000 zł;12 705 zł/m²;1 pokój;12.2 m²;"EUREX NIERUCHOMOŚCI
Biuro nieruchomości"
20230720;https://www.otodom.pl/pl/oferta/sliczna-kawalerka-z-pelnym-wyposazeniem-ID4kOEQ;Śliczna kawalerka z pełnym wyposażeniem;ul. Poznańska, Górniak, Górna, Łódź, łódzkie;235 000 zł;9743 zł/m²;1 pokój;24.12 m²;"EUREX NIERUCHOMOŚCI
Biuro nieruchomości"
20230720;https://www.otodom.pl/pl/oferta/maratonska-49-m-od-dewelopera-harmonogram-10-90-ID4l4Iw;Maratońska 49 - M od dewelopera HARMONOGRAM 10-90;ul. Maratońska, Retkinia, Polesie, Łódź, łódzkie;349 920 zł;9000 zł/m²;2 pokoje;38.88 m²;"Michał
Biuro nieruchomości"
20230720;https://www.otodom.pl/pl/oferta/maratonska-49-m-od-dewelopera-harmonogram-10-90-ID4l4Kb;Maratońska 49 - M od dewelopera HARMONOGRAM 10-90;Retkinia, Polesie, Łódź, łódzkie;541 728 zł;8800 zł/m²;3 pokoje;61.56 m²;"Michał
Biuro nieruchomości"
20230720;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-73m2-balkon-bez-prowizji-ID4iXO2;3-pokojowe mieszkanie 73m2 + balkon Bez Prowizji;ul. Rzgowska, Stare Chojny, Górna, Łódź, łódzkie;Zapytaj o cenę;;3 pokoje;73.53 m²;"Yuniversal Development
Inwestycja deweloperska"
20230720;https://www.otodom.pl/pl/oferta/maratonska-49-m-od-dewelopera-harmonogram-10-90-ID4l4Le;Maratońska 49 - M od dewelopera HARMONOGRAM 10-90;ul. Maratońska, Retkinia, Polesie, Łódź, łódzkie;510 682 zł;8900 zł/m²;3 pokoje;57.38 m²;"Michał
Biuro nieruchomości"
20230720;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-ogrodek-bez-prowizji-ID4iyBY;2-pokojowe mieszkanie 46m2 + ogródek Bez Prowizji;ul. Dzwonowa, Ruda Pabianicka, Górna, Łódź, łódzkie;380 070 zł;8200 zł/m²;2 pokoje;46.35 m²;"Yuniversal Development
Inwestycja deweloperska"
20230720;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-94m2-balkon-bez-prowizji-ID4iXO8;4-pokojowe mieszkanie 94m2 + balkon Bez Prowizji;ul. Rzgowska, Stare Chojny, Górna, Łódź, łódzkie;Zapytaj o cenę;;4 pokoje;94.15 m²;"Yuniversal Development
Inwestycja deweloperska"
20230720;https://www.otodom.pl/pl/oferta/m-3-54-m2-wysoki-standard-w-pelni-wyposazone-ID4mmBR;M-3 54 m2 Wysoki standard w pełni wyposażone;ul. Stanisława Przybyszewskiego, Widzew Wschód, Widzew, Łódź, łódzkie;429 000 zł;7944 zł/m²;2 pokoje;54 m²;"Properton
Biuro nieruchomości"
