date;link;name;where;price;perm;rooms;sqm;who
20230721;/pl/oferta/m7-w-centrum-pod-dzialalnosc-lub-dla-duzej-rodziny-ID4mnSx;M7 w centrum pod działalność lub dla dużej rodziny;ul. Gdańska, Stare Polesie, Polesie, Łódź, łódzkie;680 000 zł;4518 zł/m²;6 pokoi;150.5 m²;ATUT NieruchomościBiuro nieruchomości
20230721;/pl/oferta/na-sprzedaz-3-pokojowe-mieszkanie-z-basenem-super-ID4mhki;Na sprzedaż 3 pokojowe mieszkanie z basenem Super;ul. Słowiańska, Górniak, Górna, Łódź, łódzkie;437 000 zł;10 571 zł/m²;3 pokoje;41.34 m²;Oferta prywatna
20230721;/pl/oferta/3-pok-z-ogrodkiem-garazem-komorka-w-cenie-cesja-ID4mnQQ;3 pok. z ogródkiem, garażem, komórką w cenie Cesja;ul. Konstantynowska 38, Zdrowie, Polesie, Łódź, łódzkie;493 000 zł;8160 zł/m²;3 pokoje;60.42 m²;Oferta prywatna
20230721;/pl/oferta/rezerwacja-rozkladowe-m3-43-10m2-z-balkonem-ID4mbrv;REZERWACJA Rozkładowe M3 43,10m2 z balkonem;Żabieniec, Bałuty, Łódź, łódzkie;357 700 zł;8299 zł/m²;2 pokoje;43.1 m²;Biuro nieruchomości
20230721;/pl/oferta/apartament-z-tarasami-i-2-miejscami-parkingowymi-ID4lGrI;Apartament z tarasami i 2 miejscami parkingowymi;ul. Pustynna, Rokicie, Górna, Łódź, łódzkie;890 000 zł;8999 zł/m²;4 pokoje;98.9 m²;ATUT NieruchomościBiuro nieruchomości
20230721;/pl/oferta/2-pokoje-z-balkonem-okol-centrum-dworzec-park-ID4mnPX;2 pokoje z balkonem okol centrum, dworzec, park;Ruda Pabianicka, Górna, Łódź, łódzkie;233 000 zł;6263 zł/m²;2 pokoje;37.2 m²;Profit HouseBiuro nieruchomości
20230721;/pl/oferta/mieszkanie-przy-parku-julianowskim-z-kredytem-2-ID4mccE;Mieszkanie przy Parku Julianowskim - Z kredytem 2%;Julianów, Bałuty, Łódź, łódzkie;430 000 zł;7963 zł/m²;2 pokoje;54 m²;Metrohouse ZgierzBiuro nieruchomości
20230721;/pl/oferta/mieszkanie-na-radogoszczu-wyremontuj-po-swojemu-ID4mjEb;Mieszkanie na Radogoszczu - wyremontuj po swojemu;ul. Świtezianki, Radogoszcz, Bałuty, Łódź, łódzkie;334 700 zł;6097 zł/m²;2 pokoje;54.9 m²;ATUT NieruchomościBiuro nieruchomości
20230721;/pl/oferta/mieszkanie-4-pokoje-w-centrum-lodzi-k-manufaktury-ID4lJfL;Mieszkanie 4 pokoje w centrum Łodzi k/ Manufaktury;ul. Adama Próchnika, Stare Polesie, Polesie, Łódź, łódzkie;467 000 zł;5681 zł/m²;4 pokoje;82.2 m²;ATUT NieruchomościBiuro nieruchomości
20230721;/pl/oferta/nowa-cena-rokicie-funkcjonalna-kawalerka-na-10-p-ID4lOYJ;NOWA CENA! Rokicie Funkcjonalna kawalerka na 10 p;Koziny, Polesie, Łódź, łódzkie;240 000 zł;7059 zł/m²;1 pokój;34 m²;Real NieruchomościBiuro nieruchomości
20230721;/pl/oferta/os-pojezierska-rozkladowe-m-4-do-wlasnej-aranz-ID4kRqB;Os. Pojezierska Rozkładowe M-4 do własnej aranż.;Okolice Księdza Brzóski, Stare Bałuty, Bałuty, Łódź, łódzkie;342 000 zł;6000 zł/m²;3 pokoje;57 m²;Real NieruchomościBiuro nieruchomości
20230721;/pl/oferta/nowa-cena-trzy-pokoje-na-1-pietrze-kamienicy-ID4hCKN;Nowa cena! Trzy pokoje na 1 piętrze kamienicy;Koziny, Polesie, Łódź, łódzkie;480 000 zł;5333 zł/m²;3 pokoje;90 m²;Real NieruchomościBiuro nieruchomości
20230721;/pl/oferta/kawalerka-w-centrum-lodzi-ID4mnNM;Kawalerka w centrum Łodzi;ul. Edwarda Abramowskiego, Centrum, Śródmieście, Łódź, łódzkie;225 000 zł;7500 zł/m²;1 pokój;30 m²;Oferta prywatna
20230721;/pl/oferta/mieszkanie-rozkladowe-35-m2-ID4mnNG;Mieszkanie, rozkładowe, 35 m2;ul. Juliana Ejsmonda, Dąbrowa, Górna, Łódź, łódzkie;290 000 zł;8298 zł/m²;2 pokoje;34.95 m²;Oferta prywatna
20230721;/pl/oferta/rozkladowe-m3-45-m-teofilow-od-wlasciciela-ID4mhfI;Rozkładowe M3 | 45 m² | Teofilów | Od właściciela;ul. Lniana, Teofilów, Bałuty, Łódź, łódzkie;262 900 zł;5825 zł/m²;2 pokoje;45.13 m²;Oferta prywatna
20230721;/pl/oferta/mieszkanie-z-bardzo-dobrym-adresem-piotrkowska-ID4mnLe;Mieszkanie z bardzo dobrym adresem - Piotrkowska;ul. Piotrkowska, Centrum, Śródmieście, Łódź, łódzkie;499 000 zł;5359 zł/m²;6 pokoi;93.12 m²;House Agent s.c.Biuro nieruchomości
20230721;/pl/oferta/mieszkanie-134-m2-lodz-tuwima-30-ID4mnLa;Mieszkanie 134 m2 -Łódź Tuwima 30;ul. Juliana Tuwima, Centrum, Śródmieście, Łódź, łódzkie;845 000 zł;6306 zł/m²;5 pokoi;134 m²;Ad-ministroBiuro nieruchomości
20230721;/pl/oferta/mieszkanie-2-pok-do-remontu-na-gornej-ID4mnL1;Mieszkanie 2-pok do remontu na Górnej;Nowe Rokicie, Górna, Łódź, łódzkie;160 000 zł;4156 zł/m²;2 pokoje;38.5 m²;House FactoryBiuro nieruchomości
20230721;/pl/oferta/2-pokoje-posrod-zieleni-przy-ogrodzie-botanicznym-ID4mnKB;2 pokoje pośród zieleni przy Ogrodzie Botanicznym;ul. Konstantynowska, Zdrowie, Polesie, Łódź, łódzkie;350 000 zł;7691 zł/m²;2 pokoje;45.51 m²;Biuro nieruchomości
20230721;/pl/oferta/znajdz-swoj-dom-w-tym-pieknym-mieszkaniu-z-tarasem-ID4m3Tu;Znajdź swój dom w tym pięknym mieszkaniu z tarasem;ul. Emilii Sczanieckiej, Stare Chojny, Górna, Łódź, łódzkie;719 000 zł;7697 zł/m²;3 pokoje;93.41 m²;Ubuntu nieruchomościBiuro nieruchomości
20230721;/pl/oferta/piekny-okalajacy-ogrodek-z-tarasem-o-pow-50m2-ID4mnJn;Piękny, okalający ogródek z tarasem o pow. 50m2;Przedsprzedaż mieszkań - kup najtaniej. Manufaktura, Park, Koziny, Polesie, Łódź, łódzkie;499 600 zł;8269 zł/m²;4 pokoje;60.42 m²;Nieruchomości PlusBiuro nieruchomości
20230721;/pl/oferta/doskonale-3-pok-z-tarasem-przy-manufakturze-ID4mnJm;Doskonałe 3-pok. z tarasem przy Manufakturze;Przedsprzedaż mieszkań - kup najtaniej. Manufaktura, Park, Koziny, Polesie, Łódź, łódzkie;432 800 zł;8656 zł/m²;3 pokoje;50 m²;Nieruchomości PlusBiuro nieruchomości
20230721;/pl/oferta/mieszkanie-dwupoziomowe-ID4lMbH;Mieszkanie dwupoziomowe;Mileszki, Widzew, Łódź, łódzkie;525 000 zł;8468 zł/m²;4 pokoje;62 m²;Oferta prywatna
20230721;/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bezposrednio-ID4lhM1;1-pokojowe mieszkanie 25m2 + balkon Bezpośrednio;al. 1 Maja, Stare Polesie, Polesie, Łódź, łódzkie;Zapytaj o cenę;;1 pokój;25.6 m²;MurapolInwestycja deweloperska
20230721;/pl/oferta/m-2-po-remoncie-do-wprowadzenia-z-parkingiem-ID4maeC;M-2 po remoncie do wprowadzenia z parkingiem;ul. Ignacego Paderewskiego, Kurak, Górna, Łódź, łódzkie;240 000 zł;8985 zł/m²;1 pokój;26.71 m²;Solier NieruchomościBiuro nieruchomości
20230721;/pl/oferta/4-pokojowe-mieszkanie-94m2-balkon-bez-prowizji-ID4iXO8;4-pokojowe mieszkanie 94m2 + balkon Bez Prowizji;ul. Rzgowska, Stare Chojny, Górna, Łódź, łódzkie;Zapytaj o cenę;;4 pokoje;94.15 m²;Yuniversal DevelopmentInwestycja deweloperska
